PLAYER_ID,PLAYER_NAME,scoring_average,SG_OTT,SG_APP,SG_ATG,SG_PUTTING
34021,"Bud Cauley",70.803,0.208,0.469,0.071,-0.426
34046,"Jordan Spieth",71.084,0.394,-0.103,0.138,0.484
34076,"Joel Dahmen",71.749,0.353,0.529,-0.179,-1.006
34098,"Russell Henley",70.835,0.072,0.217,0.305,0.311
34099,"Harris English",70.942,0.228,-0.2,0.243,0.458
34213,"Grayson Murray",71.887,0.149,-0.07,-0.03,-0.131
34255,"Joseph Bramlett",71.057,0.266,-0.148,0.174,0.017
34256,"Andrew Putnam",71.165,-0.355,0.275,0.206,0.321
34310,"Alexander Björk",71.353,-0.542,-0.309,-0.426,0.726
34374,"Erik Barnes",71.268,-0.479,0.007,0.082,-0.063
34466,"Peter Malnati",71.033,-0.379,0.013,0.024,0.759
34563,"Chesson Hadley",71.23,0.07,-0.055,-0.147,0.219
34587,"Chan Kim",70.737,0.156,0.273,0.067,-0.262
35310,"Lanto Griffin",71.285,0.152,0.24,-0.411,-0.308
35450,"Patrick Cantlay",71.198,0.183,-0.135,0.116,0.229
35461,"Beau Hossler",70.953,-0.021,-0.381,0.201,0.461
35506,"Mackenzie Hughes",71.201,-0.105,-0.31,0.471,0.373
35532,"Tom Hoge",70.555,-0.134,1.029,-0.272,0.267
36326,"David Lipsky",72.573,-0.393,-0.106,-0.008,-0.601
36699,"Patrick Rodgers",71.146,0.288,-0.142,0.023,0.007
36799,"Stephan Jaeger",70.481,0.498,0.036,0.441,0.03
36801,"Mark Hubbard",70.652,-0.08,0.374,0.107,0.186
36871,"Matt NeSmith",71.945,0.032,-0.358,-0.313,-0.43
36884,"Ben Kohles",72.016,-0.045,-0.275,-0.368,-0.499
37212,"Paul Barjon",72.774,0.018,-0.533,-0.709,-0.611
37275,"Sam Ryder",71.418,-0.444,0.366,-0.333,0.295
37378,"Min Woo Lee",71.212,0.664,-0.253,-0.039,-0.323
37455,"Si Woo Kim",70.397,0.526,0.57,0.32,-0.329
38991,"Alejandro Tosti",71.566,0.873,-0.519,-0.34,-0.585
39324,"J.J. Spaun",72.087,-0.245,0.155,-0.186,-0.505
39327,"Ben Silverman",70.995,0.104,-0.144,0.193,0.257
39546,"Keith Mitchell",70.326,0.827,0.643,-0.167,-0.385
39971,"Sungjae Im",71.705,0.348,-0.238,0.098,-0.179
39975,"Michael Kim",71.008,-0.613,0.078,-0.059,0.153
39977,"Max Homa",71.217,-0.068,0.19,0.243,0.103
39997,"Corey Conners",71.032,0.413,0.798,-0.187,-0.472
40006,"Erik van Rooyen",70.991,0.235,0.358,-0.187,0.356
40026,"Daniel Berger",71.394,0.416,0.254,-0.059,-0.8
40058,"Zac Blair",71.838,-0.485,-0.183,0.3,-0.33
40098,"Matt Fitzpatrick",70.921,0.034,0.119,0.022,0.443
40115,"Adam Svensson",71.893,-0.177,0.299,-0.073,-0.478
40162,"Justin Lower",70.719,-0.129,0.348,-0.035,0.152
40250,"Taylor Pendrith",70.638,-0.132,-0.125,0.219,0.601
45157,"Cam Davis",71.807,-0.174,-0.163,-0.296,-0.058
45242,"Kevin Yu",71.152,0.842,0.409,-0.708,-0.661
45522,"Christiaan Bezuidenhout",70.456,-0.092,0.377,-0.048,0.647
45609,"Tyler Duncan",71.751,0.344,-0.459,0.006,-0.591
46046,"Scottie Scheffler",68.743,0.957,1.398,0.48,0.016
46113,"Ryan McCormick",72.449,-0.672,-0.307,0.028,0.061
46340,"Alex Smalley",71.768,0.158,0.023,-0.347,-0.935
46414,"Aaron Rai",70.679,0.246,0.637,0.005,-0.023
46441,"Robby Shelton",71.557,-0.674,0.016,0.378,-0.154
46442,"Maverick McNealy",70.563,0.412,-0.12,0.293,0.339
47079,"Harrison Endycott",71.519,-0.173,-0.183,-0.136,-0.205
47347,"Adam Schenk",71.099,0.402,-0.227,0.164,0.202
47420,"Jake Knapp",71.206,-0.197,0.653,-0.033,0.202
47483,"Will Zalatoris",70.735,0.144,0.694,-0.151,-0.397
47504,"Sam Burns",70.967,0.328,0.182,-0.233,0.379
47591,"Eric Cole",71.292,-0.221,0.193,0.028,0.33
47663,"Kevin Dougherty",71.352,0.987,-0.08,-0.754,0.106
47679,"Victor Perez",70.685,0.228,0.594,-0.062,-0.295
47806,"Raul Pereda",72.873,-1.285,-0.525,-0.358,0.746
47983,"Chad Ramey",71.475,-0.108,-0.832,0.062,0.592
47988,"Nick Hardy",71.853,0.197,-0.133,-0.552,0.136
47993,"Denny McCarthy",70.902,-0.361,0.064,0.355,0.717
47995,"Davis Riley",72.465,-0.652,-0.387,-0.002,0.036
48081,"Xander Schauffele",69.973,0.637,0.489,0.309,0.315
48117,"Kurt Kitayama",70.938,0.404,0.42,-0.075,-0.213
48119,"Ben Taylor",73.355,-0.878,-0.936,0.063,-0.211
48153,"Matthieu Pavon",70.469,0.211,0.607,-0.331,0.502
48319,"Tom Whitney",72.144,0.229,-0.099,-0.63,-0.213
48699,"Callum Tarren",72.241,-0.314,-0.549,-0.303,-0.214
48867,"Matti Schmid",71.117,0.089,-0.11,-0.265,0.192
48887,"Matt Wallace",71.131,-0.424,0.129,0.201,0.205
49771,"J.T. Poston",70.79,-0.006,-0.047,0.336,0.304
49947,"Taylor Moore",71.131,0.178,0.052,0.29,-0.13
49960,"Sepp Straka",71.712,0.342,-0.086,-0.222,-0.051
50188,"S.H. Kim",70.935,-0.274,-0.25,0.394,0.558
50484,"Hayden Springer",71.042,0.153,-0.267,-0.025,0.462
50493,"Justin Suh",71.967,-0.096,-0.918,-0.537,0.744
50497,"Adrien Dumont de Chassart",72.278,-0.393,-0.563,-0.545,-0.523
50525,"Collin Morikawa",71.15,0.345,-0.021,0.288,-0.312
51070,"Vincent Norrman",72.829,0.298,-0.439,-0.325,-1.071
51287,"Ryo Hisatsune",70.947,-0.165,0.125,0.307,0.006
