RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
157,8,32366,Kevin Chappell,-0.670,-0.372,-0.558,0.260,16
158,15,36884,Ben Kohles,-0.689,-0.045,-0.275,-0.368,22
159,-4,52372,Cameron Champ,-0.719,0.830,-0.904,-0.645,23
160,0,60067,Joe Highsmith,-0.722,-0.636,-0.379,0.293,21
161,0,22405,Justin Rose,-0.871,-0.163,-0.773,0.065,25
162,6,59866,Nick Dunlap,-0.878,-0.439,-0.442,0.003,26
162,1,47983,Chad Ramey,-0.878,-0.108,-0.832,0.062,27
164,3,55708,Hayden Buckley,-0.888,-0.105,-0.586,-0.197,25
165,-6,51894,Vince Whaley,-0.934,-0.686,-0.214,-0.035,21
166,3,46113,Ryan McCormick,-0.951,-0.672,-0.307,0.028,17
167,-10,55789,Taylor Montgomery,-1.008,-0.798,-0.401,0.191,29
168,-2,52514,Trace Crowe,-1.030,0.252,-0.927,-0.354,14
169,2,47995,Davis Riley,-1.040,-0.652,-0.387,-0.002,29
170,-6,23108,Matt Kuchar,-1.080,-0.127,-1.137,0.185,20
171,-9,24980,Scott Gutschewski,-1.087,-0.099,-0.983,-0.006,13
172,3,48699,Callum Tarren,-1.165,-0.314,-0.549,-0.303,23
173,4,54328,Norman Xiong,-1.219,0.238,-1.240,-0.218,18
174,0,37212,Paul Barjon,-1.224,0.018,-0.533,-0.709,15
175,1,34310,Alexander Björk,-1.277,-0.542,-0.309,-0.426,25
175,-3,28420,Ryan Brehm,-1.277,-0.157,-0.605,-0.514,23
177,4,50497,Adrien Dumont de Chassart,-1.500,-0.393,-0.563,-0.545,25
178,-8,54576,Patrick Fishburn,-1.514,0.369,-0.894,-0.990,13
179,-1,50493,Justin Suh,-1.551,-0.096,-0.918,-0.537,23
180,2,59836,Pierceson Coody,-1.640,-0.404,-0.690,-0.545,17
181,2,27649,Brandt Snedeker,-1.710,-0.532,-0.854,-0.324,23
182,-3,48119,Ben Taylor,-1.751,-0.878,-0.936,0.063,21
183,-3,27770,Camilo Villegas,-1.765,-1.122,-0.519,-0.125,19
184,0,47806,Raul Pereda,-2.168,-1.285,-0.525,-0.358,13
185,0,29478,Kevin Kisner,-2.388,-1.053,-0.730,-0.605,18
