PLAYER_ID,PLAYER_NAME,SCORING_AVG
50497,Adrien Dumont de Chassart,72.278
31323,Gary Woodland,72.287
55708,Hayden Buckley,72.436
46113,Ryan McCormick,72.449
47995,Davis Riley,72.465
32102,Rickie Fowler,72.518
36326,David Lipsky,72.573
27330,Josh Teater,72.624
37212,Paul Barjon,72.774
28420,Ryan Brehm,72.821
51070,Vincent Norrman,72.829
47806,Raul Pereda,72.873
27770,Camilo Villegas,73.044
27649,Brandt Snedeker,73.167
24980,Scott Gutschewski,73.255
48119,Ben Taylor,73.355
29478,Kevin Kisner,73.556
