PLAYER_ID,PLAYER,AVG
51894,Vince Whaley,-0.214
32791,K.H. Lee,-0.221
47347,Adam Schenk,-0.227
39971,Sungjae Im,-0.238
50188,S.H. Kim,-0.25
37378,Min Woo Lee,-0.253
33653,Thomas Detry,-0.256
50484,Hayden Springer,-0.267
55454,Carl Yuan,-0.272
36884,Ben Kohles,-0.275
29268,Bronson Burgoon,-0.291
33486,Roger Sloan,-0.306
46113,Ryan McCormick,-0.307
34310,Alexander Björk,-0.309
35506,Mackenzie Hughes,-0.31
54421,Garrick Higgo,-0.335
29221,Webb Simpson,-0.347
36871,Matt NeSmith,-0.358
59095,Chris Gotterup,-0.371
22371,Aaron Baddeley,-0.372
60067,Joe Highsmith,-0.379
55893,Sam Stevens,-0.379
35461,Beau Hossler,-0.381
47995,Davis Riley,-0.387
51349,Nico Echavarria,-0.388
23320,Ryan Palmer,-0.388
55789,Taylor Montgomery,-0.401
27330,Josh Teater,-0.416
28089,Jason Day,-0.419
51070,Vincent Norrman,-0.439
59866,Nick Dunlap,-0.442
56149,Wilson Furr,-0.455
45609,Tyler Duncan,-0.459
38991,Alejandro Tosti,-0.519
27770,Camilo Villegas,-0.519
47806,Raul Pereda,-0.525
37212,Paul Barjon,-0.533
48699,Callum Tarren,-0.549
32366,Kevin Chappell,-0.558
50497,Adrien Dumont de Chassart,-0.563
51600,Jimmy Stanger,-0.577
55708,Hayden Buckley,-0.586
28420,Ryan Brehm,-0.605
59836,Pierceson Coody,-0.69
30911,Tommy Fleetwood,-0.721
29478,Kevin Kisner,-0.73
22405,Justin Rose,-0.773
47983,Chad Ramey,-0.832
27649,Brandt Snedeker,-0.854
54576,Patrick Fishburn,-0.894
52372,Cameron Champ,-0.904
50493,Justin Suh,-0.918
52514,Trace Crowe,-0.927
48119,Ben Taylor,-0.936
24980,Scott Gutschewski,-0.983
23108,Matt Kuchar,-1.137
54328,Norman Xiong,-1.24
